"","salary","age","elevel","car","zipcode","credit","brand"
"39",101454.6305,26,"0",18,2,22960.79969,"0"
"40",123266.0939,45,"0",17,3,0,"0"
"41",108356.0675,26,"0",9,0,193313.0143,"1"
"42",145227.4387,51,"1",5,3,436186.7925,"1"
"43",47038.66895,37,"4",11,4,26372.01677,"1"
"44",90380.44913,28,"2",17,0,0,"0"
"45",87634.04855,59,"2",5,6,206711.9404,"1"
"46",132209.9161,68,"2",4,6,417555.6048,"1"
"47",74868.80467,71,"1",7,5,176808.022,"0"
"48",75014.31541,72,"3",18,3,296145.2233,"1"
"49",97986.02981,69,"2",5,5,247553.2448,"1"
"50",76687.00712,41,"0",4,3,405797.2386,"0"
"51",36679.32036,35,"4",12,1,15727.3963,"1"
"52",87572.47168,43,"1",12,4,68500.989,"0"
"53",125796.5011,57,"0",15,7,323423.7621,"0"
"54",110027.6772,52,"0",16,4,386734.4386,"0"
"55",81015.25683,63,"0",7,7,250036,"1"
"56",88405.44247,36,"4",8,7,195042.678,"0"
"57",79709.08819,51,"2",3,1,291992.4442,"0"
"58",116982.1324,42,"0",5,6,250699.3393,"0"
"59",36761.19167,32,"2",6,2,114826.0399,"1"
"60",101996.8511,33,"0",8,2,276545.1894,"0"
"61",30991.66107,75,"1",18,4,307978.644,"0"
"62",137871.8319,24,"0",17,5,115781.5242,"1"
"63",83185.07469,62,"4",2,8,163108.4384,"1"
"64",31430.23788,47,"4",10,2,177297.7198,"1"
"65",50883.13139,72,"1",18,6,259957.0146,"0"
"66",63708.35087,31,"0",18,6,129263.3169,"0"
"67",66431.46169,79,"1",20,6,388763.2145,"0"
"68",145409.6872,22,"1",16,3,393137.5146,"1"
"69",79448.80903,42,"2",5,2,62604.36209,"0"
"70",131957.8134,65,"4",11,1,238253.0074,"1"
"71",91708.59748,44,"4",9,5,396255.5288,"0"
"72",150000,46,"4",1,8,313158.5103,"1"
"73",109505.1253,61,"2",10,3,68952.84297,"0"
"74",131927.7112,63,"1",8,1,424565.9627,"1"
"75",110539.0599,64,"4",11,6,257476.5904,"1"
"76",133162.3653,69,"0",7,8,413996.4766,"1"
"77",140352.0096,75,"2",15,4,339276.6955,"1"
"78",85161.21816,64,"2",14,5,36491.25654,"1"
"79",42954.52214,64,"0",13,0,463502.2803,"0"
"80",143756.6798,54,"1",13,2,88560.27002,"1"
"81",137368.9441,57,"4",12,8,415156.2822,"1"
"82",43377.95669,30,"0",6,2,190336.1605,"1"
"83",85919.98579,75,"3",7,1,43412.86628,"1"
"84",147788.4085,30,"1",5,2,131963.4556,"1"
"85",66923.38974,73,"4",11,1,266925.7954,"0"
"86",144289.5569,31,"4",7,7,113120.0512,"1"
"87",91947.70597,73,"0",12,6,237813.5768,"1"
"88",96785.84648,52,"4",19,5,148748.7091,"0"
"89",47399.23601,21,"4",2,3,362188.0274,"1"
"90",42158.55331,53,"1",3,6,121961.5697,"1"
"91",56740.9202,66,"2",18,6,144605.2693,"0"
"92",101076.8581,22,"0",6,1,268532.5642,"1"
"93",37854.62392,59,"0",9,0,496484.7927,"1"
"94",104524.7856,75,"3",9,3,252602.3268,"1"
"95",51053.51946,30,"0",15,5,88354.59118,"0"
"96",46822.50581,29,"2",7,8,414381.2016,"0"
"97",34759.47997,58,"4",16,1,396818.5906,"1"
"98",141628.0388,75,"2",18,3,326686.0247,"1"
"99",59628.93628,36,"4",12,7,290262.5533,"0"
"100",78358.97271,76,"3",10,7,365827.7418,"1"
"101",26963.8117,35,"1",8,5,266219.8571,"1"
"102",116112.6737,26,"4",19,7,404450.4455,"1"
"103",83246.06241,73,"3",13,2,252877.311,"1"
"104",130659.3274,29,"0",15,0,271194.6055,"1"
"105",47868.26996,41,"2",14,3,36230.61235,"1"
"106",96033.56517,57,"1",14,6,482692.673,"0"
"107",31392.28755,24,"1",1,7,491295.7244,"1"
"108",69737.79123,61,"2",16,6,348396.9512,"0"
"109",27102.74327,46,"0",16,2,293842.1544,"1"
"110",23654.64631,76,"0",14,1,460399.5189,"1"
"111",138560.6316,62,"4",18,0,81219.09461,"1"
"112",84730.79371,61,"4",16,6,190860.2432,"1"
"113",138221.6411,45,"2",7,4,219282.5017,"1"
"114",80798.43468,47,"2",11,5,390780.3539,"0"
"115",129050.4786,77,"4",10,4,481644.6779,"1"
"116",96839.44554,53,"1",18,4,393853.3631,"0"
"117",116080.6148,65,"3",19,8,70909.89901,"1"
"118",100820.0127,70,"4",4,6,463076.2302,"1"
"119",129274.9851,29,"2",12,0,98820.08272,"1"
"120",102307.338,77,"0",3,1,305063.1696,"1"
"121",112471.3817,24,"1",2,2,318564.8699,"1"
"122",48880.22734,38,"2",9,4,376145.7739,"1"
"123",80460.46303,21,"4",2,7,180388.1352,"0"
"124",43727.80569,43,"3",19,1,199837.2545,"1"
"125",134832.8799,44,"3",10,6,387388.682,"1"
"126",89282.60355,55,"3",14,4,245925.2087,"0"
"127",117663.2622,70,"1",5,0,291348.255,"1"
"128",117036.9001,34,"3",3,2,114259.2543,"1"
"129",103561.6649,38,"3",4,7,362072.0556,"1"
"130",23964.83034,57,"1",17,4,165441.501,"1"
"131",53452.1516,32,"1",20,2,24755.74467,"0"
"132",134663.8237,51,"1",2,1,476990.3625,"1"
"133",27705.55768,41,"4",16,5,213908.7984,"1"
"134",68420.3845,26,"4",14,2,485034.8151,"0"
"135",83499.84104,78,"4",19,3,211182.218,"1"
"136",45257.89254,40,"2",11,4,374850.8742,"1"
"137",22083.3418,52,"1",14,7,87643.63816,"1"
"138",115221.605,42,"3",12,8,460387.283,"0"
"139",84020.68676,72,"4",11,4,334105.9909,"1"
"140",109830.1691,24,"1",9,8,144156.9785,"1"
"141",140784.7192,60,"4",3,4,485468.1685,"1"
"142",104363.634,29,"2",15,8,71762.09863,"1"
"143",58089.91395,45,"2",9,5,460439.3142,"1"
"144",138483.5089,34,"4",17,7,158932.9768,"1"
"145",27228.80043,39,"0",19,1,365463.041,"1"
"146",120233.0347,70,"2",16,8,91005.91966,"1"
"147",137794.6133,24,"0",13,2,216481.9042,"1"
"148",33466.40514,74,"4",20,6,123852.0306,"0"
"149",26386.96058,52,"1",3,2,93758.19955,"1"
"150",125116.9682,32,"3",15,0,290177.4608,"1"
"151",111872.7192,41,"0",8,1,13674.56176,"0"
"152",55982.03847,60,"3",2,1,50869.17995,"0"
"153",133279.7834,41,"2",15,6,260987.137,"1"
"154",25011.38899,20,"4",3,7,282742.6841,"1"
"155",41010.73299,62,"4",9,4,476510.2101,"1"
"156",148518.7501,52,"1",17,8,293916.2145,"1"
"157",140390.2986,69,"2",7,6,235410.8935,"1"
"158",106841.0035,78,"3",2,5,386222.3608,"1"
"159",90537.0496,35,"1",2,2,302056.9251,"0"
"160",37910.1441,20,"3",1,1,399464.5848,"1"
"161",92422.59324,52,"2",8,2,308886.506,"0"
"162",150000,31,"4",18,5,249790.5327,"1"
"163",66938.52234,47,"1",11,8,15198.15057,"1"
"164",88387.43138,80,"1",11,1,82333.27718,"1"
"165",29060.81025,45,"2",9,8,406164.5896,"1"
"166",107592.5351,33,"2",6,5,169847.3343,"1"
"167",27478.32781,69,"3",8,1,5e+05,"0"
"168",145683.8368,41,"3",9,7,271596.1632,"1"
"169",119888.6319,41,"0",3,6,328779.0399,"0"
"170",128751.1452,66,"0",2,0,394010.9906,"1"
"171",102644.1368,72,"1",6,0,279655.7691,"1"
"172",50887.8217,55,"0",20,2,329172.0321,"1"
"173",84796.30592,24,"2",19,2,167741.3617,"0"
"174",112310.1495,75,"1",3,6,161946.6083,"1"
"175",132530.6515,25,"1",5,4,145812.3485,"1"
"176",23520.41143,72,"2",8,7,313318.6606,"0"
"177",29819.80482,57,"4",4,4,186745.1407,"1"
"178",77468.8675,65,"4",20,8,247147.0116,"1"
"179",68054.64082,61,"1",20,3,277300.5101,"0"
"180",20000,41,"0",10,2,485644.5931,"1"
"181",95047.9237,79,"4",8,2,329922.743,"1"
"182",130455.1561,56,"4",20,1,92299.37273,"1"
"183",105758.7208,75,"1",15,1,1482.385897,"1"
"184",69861.26466,80,"1",15,0,146050.3559,"0"
"185",95688.25285,29,"2",13,3,247280.5348,"0"
"186",140323.7074,33,"1",20,2,135551.9597,"1"
"187",68053.3894,44,"4",18,2,144930.6728,"1"
"188",139193.2134,69,"0",13,4,0,"1"
"189",150000,56,"1",7,4,373050.1477,"1"
"190",101445.0105,23,"2",15,2,243688.7018,"1"
"191",77597.74445,54,"2",11,7,210081.964,"0"
"192",54661.19921,32,"0",18,7,168218.3817,"0"
"193",81407.64171,31,"4",14,8,329644.3365,"0"
"194",67176.56667,21,"0",5,1,348279.437,"0"
"195",142005.0501,47,"2",6,8,109404.8217,"1"
"196",103158.6319,44,"1",5,0,244790.5043,"0"
"197",58555.51104,62,"2",19,3,389687.1404,"0"
"198",50388.49414,41,"0",3,5,459917.5741,"1"
"199",31488.72297,39,"0",18,5,180817.9448,"1"
"200",48536.88348,22,"2",8,1,46120.3939,"1"
"201",59742.60873,25,"0",17,5,440156.7453,"0"
"202",98737.84065,65,"3",18,3,208253.8972,"1"
"203",44863.38388,70,"4",15,3,153945.3747,"0"
"204",48777.81068,28,"0",15,7,5e+05,"0"
"205",59331.00983,70,"3",4,2,152312.8766,"0"
"206",127367.2236,78,"0",11,2,252011.5877,"1"
"207",121775.8335,30,"1",11,8,0,"1"
"208",138178.8772,53,"4",20,3,102848.1931,"1"
"209",58211.01619,60,"1",1,7,498816.7148,"0"
"210",127287.1331,28,"1",17,2,96898.41995,"1"
"211",44057.64317,68,"4",12,6,410260.7621,"0"
"212",54394.40177,28,"4",7,4,463516.5896,"0"
"213",68668.61837,29,"0",8,4,426409.1721,"0"
"214",93055.2053,45,"3",3,8,44131.25215,"0"
"215",74272.1252,38,"2",6,2,27119.69087,"0"
"216",68366.51769,43,"4",14,2,355413.1987,"1"
"217",90626.79709,24,"4",3,0,288700.3295,"0"
"218",31242.4138,77,"4",8,5,70410.16331,"0"
"219",130119.761,46,"0",1,1,277130.0322,"1"
"220",41786.0207,30,"4",16,2,121711.702,"1"
"221",52138.16018,49,"2",15,5,298294.8226,"1"
"222",86882.99922,26,"1",3,7,5e+05,"0"
"223",49480.10439,63,"3",8,4,95135.23405,"0"
"224",105369.2255,40,"3",4,4,36805.24678,"0"
"225",107882.1445,20,"2",7,1,64060.67396,"1"
"226",79393.77022,51,"3",4,5,327541.1979,"0"
"227",110097.7753,79,"4",12,5,282891.0917,"1"
"228",107887.4497,42,"3",3,3,106710.7235,"0"
"229",96160.32369,61,"2",6,3,328170.5307,"1"
"230",61926.03154,62,"2",2,2,353903.9806,"0"
"231",89248.67214,42,"4",15,0,453443.3871,"0"
"232",120689.9804,34,"4",6,1,370293.4318,"1"
"233",73906.88111,32,"4",17,8,499164.3429,"0"
"234",30284.09299,22,"4",13,7,280717.2947,"1"
"235",109093.4971,78,"2",11,0,290646.7968,"1"
"236",97601.6357,71,"2",17,0,419576.2768,"1"
"237",106770.4341,73,"0",17,3,22987.74052,"1"
"238",75378.26838,49,"0",19,6,92529.98293,"1"
"239",101945.0692,49,"1",2,5,423675.1601,"0"
"240",61634.36353,40,"0",16,0,193099.202,"0"
"241",87590.62225,26,"1",4,8,492069.2417,"0"
"242",73026.74521,25,"4",14,3,56413.10219,"0"
"243",115456.8145,69,"2",19,1,402206.1683,"1"
"244",51667.38702,70,"2",1,8,347967.0229,"0"
"245",127191.5922,39,"0",18,1,166839.0287,"1"
"246",134265.5064,64,"0",14,6,216715.7577,"1"
"247",77252.30572,30,"1",14,6,369266.2609,"0"
"248",32157.30871,40,"3",8,8,427414.4693,"1"
"249",101426.2983,20,"4",15,1,144685.8191,"1"
"250",31327.01506,37,"3",14,5,244495.5525,"1"
"251",91331.60101,70,"3",16,5,317889.0442,"1"
"252",119657.7762,31,"1",7,4,232172.259,"1"
"253",59217.17824,58,"0",10,2,173339.5829,"0"
"254",128632.2041,33,"3",18,4,49848.98053,"1"
"255",23368.89826,51,"3",1,3,442672.5687,"1"
"256",20000,34,"4",18,3,134710.0769,"1"
"257",101699.427,67,"0",4,2,166498.081,"1"
"258",130758.152,74,"3",16,6,170660.5457,"1"
"259",104663.798,77,"1",19,2,309124.8861,"1"
"260",63922.48979,34,"4",11,3,389379.4122,"0"
"261",140924.8071,80,"2",3,0,299265.7607,"1"
"262",39443.5188,20,"3",20,8,146688.4045,"1"
"263",78378.65633,42,"2",7,1,203090.9077,"0"
"264",106795.6744,58,"2",4,8,137897.6149,"1"
"265",33148.32585,70,"2",2,1,436216.7408,"0"
"266",140087.6923,78,"2",2,5,360342.8861,"1"
"267",140612.5067,50,"2",13,6,276639.7362,"1"
"268",72867.35203,67,"4",10,5,301189.2593,"1"
"269",94564.46832,34,"1",5,2,407331.4248,"0"
"270",115429.476,57,"0",1,4,145421.5062,"0"
"271",55620.66204,71,"4",17,6,477419.175,"0"
"272",33347.36033,70,"0",14,6,482101.269,"0"
"273",39214.95888,46,"2",12,5,251382.0715,"1"
"274",52866.81021,73,"1",6,5,61389.59241,"0"
"275",24178.67841,75,"2",8,2,75488.25598,"0"
"276",45116.38819,28,"4",16,6,281700.2304,"1"
"277",27562.06748,27,"1",17,1,156619.7207,"1"
"278",127504.2488,47,"4",6,5,422383.8784,"1"
"279",35821.31543,58,"2",11,3,327520.885,"1"
"280",86313.61526,63,"0",19,5,457528.8196,"1"
"281",150000,80,"1",19,3,249547.659,"1"
"282",129134.939,23,"3",4,7,166516.1563,"1"
"283",111867.2446,48,"0",18,5,307842.5284,"0"
"284",117098.6279,35,"0",14,0,499503.2089,"1"
"285",51410.89278,65,"3",3,4,347975.1063,"0"
"286",104236.7524,38,"4",3,6,48980.45387,"1"
"287",65666.1086,77,"0",8,4,11105.34325,"0"
"288",110467.0547,79,"0",15,5,499205.9892,"1"
"289",105509.2957,80,"4",16,1,337376.1201,"1"
"290",135012.8618,41,"2",17,0,203638.7886,"1"
"291",133548.1379,80,"1",1,1,339518.2798,"1"
"292",86242.63475,22,"4",10,4,206786.4271,"0"
"293",56309.34769,36,"1",9,6,130129.9302,"0"
"294",27660.54122,32,"1",7,1,251119.3738,"1"
"295",139175.3315,71,"0",11,2,166746.0168,"1"
"296",100577.598,35,"2",8,7,288933.1394,"1"
"297",35053.53208,24,"1",16,0,254572.0155,"1"
"298",136474.7176,74,"4",8,4,197450.6893,"1"
"299",147791.2778,69,"0",16,7,255592.9654,"1"
"300",39644.082,30,"3",2,8,463629.845,"1"
"301",39372.49599,36,"0",18,5,350532.37,"1"
"302",26573.25429,58,"0",12,2,253095.6447,"1"
"303",149630.8909,75,"3",3,4,264908.7865,"1"
"304",72179.50889,20,"4",18,5,12750.89578,"0"
"305",79986.354,49,"3",2,6,5e+05,"0"
"306",44697.96179,70,"3",3,2,195563.4292,"0"
"307",32394.8929,77,"4",7,5,383085.772,"0"
"308",143742.3542,80,"4",11,8,129507.0112,"1"
"309",129443.8747,43,"1",12,6,256947.4255,"1"
"310",138335.9256,50,"1",6,6,0,"1"
"311",146398.1479,23,"3",8,8,256626.6264,"1"
"312",122047.985,65,"0",5,5,480214.2265,"1"
"313",111228.2913,75,"2",9,7,390871.9861,"1"
"314",148080.6561,25,"4",6,8,348060.9535,"1"
"315",43943.42343,78,"3",10,2,140100.8136,"0"
"316",103863.5228,44,"4",17,5,120606.6879,"0"
"317",65915.23752,71,"3",16,6,283638.8152,"0"
"318",38684.30988,31,"4",1,3,326804.9511,"1"
"319",93678.64998,22,"3",11,3,462596.6417,"0"
"320",35888.77853,59,"2",14,0,16701.63707,"0"
"321",142943.6474,62,"3",1,2,222267.6605,"1"
"322",77634.44653,39,"4",16,2,378508.0924,"0"
"323",30479.86686,32,"1",9,1,447580.5806,"1"
"324",48970.60266,44,"4",3,2,5e+05,"1"
"325",57425.65076,34,"3",16,2,100141.4186,"0"
"326",33813.23216,32,"4",12,4,380759.4711,"1"
"327",43465.95266,79,"3",11,4,305635.7217,"0"
"328",29502.27521,73,"2",18,7,326220.1284,"0"
"329",33075.38364,64,"2",13,8,80936.28401,"0"
"330",51743.85768,42,"2",19,8,233174.5004,"1"
"331",82071.85363,37,"3",14,2,81533.14727,"0"
"332",135270.97,39,"0",15,7,9949.779397,"1"
"333",142641.5404,41,"2",8,7,127900.6,"1"
"334",126044.3852,26,"2",2,1,113170.0659,"1"
"335",52016.06066,68,"4",11,8,193598.5375,"0"
"336",116184.3174,57,"4",20,5,472757.6667,"0"
"337",120265.442,52,"2",18,3,98261.74286,"0"
"338",21068.60387,67,"1",12,0,75248.05204,"1"
"339",142443.0239,80,"3",14,2,217056.5673,"1"
"340",140838.5331,53,"2",12,1,46629.10429,"1"
"341",22242.57266,48,"1",20,4,233237.7063,"1"
"342",141371.3985,57,"2",20,3,6758.350787,"1"
"343",134775.7078,43,"1",17,4,410810.9561,"1"
"344",106922.9616,46,"2",8,3,296361.4239,"0"
"345",41864.3411,60,"3",15,5,58115.38434,"1"
"346",122989.4859,37,"1",20,8,227905.1129,"1"
"347",99902.58369,71,"0",9,4,282061.1136,"1"
"348",52389.86608,54,"0",15,8,430955.7821,"1"
"349",79392.67683,74,"2",1,2,329353.3819,"1"
"350",50889.06737,20,"1",14,4,258743.9115,"0"
"351",74794.92271,76,"4",2,6,412814.9437,"1"
"352",57894.79151,51,"1",5,2,237874.4637,"1"
"353",135945.736,50,"3",13,1,238705.9121,"1"
"354",96689.21987,54,"2",10,3,487481.5287,"0"
"355",68762.76949,23,"3",5,2,114843.3943,"0"
"356",122551.7236,49,"4",6,7,302519.8818,"0"
"357",75542.84898,43,"2",20,4,282457.5975,"0"
"358",97699.81786,44,"0",5,2,247841.0204,"0"
"359",111351.8974,60,"3",14,1,73525.24482,"0"
"360",89588.20479,57,"4",2,8,135932.529,"0"
"361",55621.78875,27,"1",10,2,175872.8005,"1"
"362",98651.00161,78,"2",1,7,41914.95199,"1"
"363",55803.12968,57,"1",19,0,40565.0112,"1"
"364",135735.9405,57,"1",18,7,262196.0391,"1"
"365",26841.50521,62,"2",10,3,87196.19052,"0"
"366",113979.4842,50,"0",15,1,346036.0698,"0"
"367",48157.01149,29,"1",4,7,185975.9986,"0"
"368",117185.4423,22,"4",11,8,459101.3155,"1"
"369",98307.96132,70,"0",3,4,176121.6993,"1"
"370",94581.28116,53,"4",19,6,462672.6022,"0"
"371",45999.89628,27,"1",7,3,457194.7733,"1"
"372",144319.3392,44,"2",1,0,210068.5642,"1"
"373",128510.2701,25,"4",20,0,286141.4123,"1"
"374",88681.66785,50,"0",6,3,482451.3143,"0"
"375",83085.42169,27,"4",14,2,347913.5229,"0"
"376",44655.18338,48,"0",11,0,155636.1568,"1"
"377",63422.14887,61,"3",1,6,61648.92554,"0"
"378",66195.07727,21,"2",1,7,298709.2934,"0"
"379",59426.49474,40,"1",11,5,135368.5119,"0"
"380",65083.38662,74,"0",11,2,185190.7403,"0"
"381",48500.56561,49,"2",13,8,44186.07399,"1"
"382",133551.7754,32,"0",1,5,125096.4503,"1"
"383",83480.76569,58,"4",8,8,258172.6584,"0"
"384",101616.8309,71,"2",19,6,287762.4035,"1"
"385",40712.90078,56,"4",17,8,380280.1481,"1"
"386",85140.33195,66,"4",11,5,355718.3632,"1"
"387",50684.45393,65,"1",8,1,309260.858,"0"
"388",21918.40956,30,"2",10,3,232845.4677,"1"
"389",35650.34077,37,"2",8,5,202044.0247,"1"
"390",120762.8232,57,"0",9,2,161888.201,"0"
"391",28074.26707,68,"2",11,6,336641.3402,"0"
"392",134369.2194,43,"4",17,8,454108.3981,"1"
"393",72072.6261,74,"1",1,5,310383.499,"0"
"394",33582.74637,41,"2",5,4,309469.165,"1"
"395",52508.98305,41,"4",12,7,112719.2392,"1"
"396",125507.2909,39,"2",6,8,432605.7892,"1"
"397",31456.96591,75,"3",6,7,187175.5396,"0"
"398",57417.5416,67,"2",11,8,245629.2758,"0"
"399",128443.6006,52,"0",6,6,365414.5558,"1"
"400",43844.93066,20,"1",7,1,233617.5816,"1"
"401",77137.16111,63,"0",16,6,113683.5695,"0"
"402",123739.4464,29,"3",4,3,224836.8225,"1"
"403",39736.10098,60,"1",18,6,157370.8702,"0"
"404",44723.7072,63,"0",1,7,44446.52063,"0"
"405",43343.4613,29,"2",20,8,52719.67423,"1"
"406",87155.8692,51,"0",7,6,18499.66453,"0"
"407",55984.0958,59,"1",15,1,129109.6003,"0"
"408",37227.75332,27,"1",13,2,283718.7395,"1"
"409",93365.93752,59,"1",13,1,165626.0304,"0"
"410",39356.94958,45,"1",7,8,163175.3107,"1"
"411",117416.4027,69,"2",1,4,88340.45875,"1"
"412",96194.72257,63,"2",18,7,297686.1947,"1"
"413",86617.35541,49,"0",3,5,0,"0"
"414",24857.23896,67,"0",17,1,115343.8228,"1"
"415",147433.1786,62,"0",5,2,305400.2687,"1"
"416",77488.79907,67,"3",9,1,215682.8421,"0"
"417",123755.2725,46,"2",15,7,303085.9041,"0"
"418",142248.7374,62,"3",15,1,121725.7695,"1"
"419",83675.28827,50,"3",16,2,15254.61431,"0"
"420",53723.67165,42,"2",10,2,371135.0093,"1"
"421",113880.9272,54,"1",20,4,236705.3322,"0"
"422",47344.6611,50,"4",10,8,110516.3746,"1"
"423",122498.2133,57,"0",4,7,393515.2137,"0"
"424",21382.34857,65,"1",8,1,434788.3632,"1"
"425",20358.59768,76,"4",16,6,330197.1132,"1"
"426",50977.2587,67,"0",6,4,55907.80182,"0"
"427",70251.68358,68,"1",3,4,181439.2043,"0"
"428",41934.88511,31,"4",18,2,267103.2679,"1"
"429",104290.6306,40,"1",18,4,361985.5942,"0"
"430",25441.66705,69,"2",11,7,0,"0"
"431",94419.25634,67,"2",12,6,205764.289,"1"
"432",36666.60357,77,"0",8,0,8796.513491,"0"
"433",124819.7593,58,"4",6,1,357089.3782,"0"
"434",115743.3083,72,"2",7,3,394712.4933,"1"
"435",145579.842,60,"4",12,7,123743.8056,"1"
"436",30731.856,67,"3",12,6,460325.3039,"0"
"437",76194.4807,24,"2",1,3,386230.8884,"0"
"438",84485.72201,53,"3",16,4,35093.9807,"0"
"439",69060.41857,62,"4",15,4,175509.3498,"0"
"440",147664.5478,59,"0",14,2,259877.2238,"1"
"441",108134.8989,62,"0",17,1,409078.0066,"1"
"442",106135.5539,64,"3",4,0,380742.6539,"1"
"443",150000,31,"0",4,6,369432.2179,"1"
"444",120488.2833,71,"1",16,2,82909.52356,"1"
"445",70484.28842,64,"4",16,3,269514.3115,"0"
"446",67682.15601,62,"2",19,8,124058.8258,"0"
"447",60052.25932,23,"2",13,7,443870.3521,"0"
"448",88358.0187,35,"2",15,4,58007.02864,"0"
"449",127070.4276,73,"3",13,5,204311.8872,"1"
"450",27113.58906,73,"0",7,4,175190.5652,"1"
"451",67812.00897,61,"2",19,0,338751.5348,"0"
"452",113661.9685,64,"0",17,8,48868.13701,"1"
"453",58703.7816,40,"4",17,7,309403.2272,"0"
"454",136559.1505,62,"4",12,6,134969.6053,"1"
"455",109693.1104,39,"2",16,5,236985.5141,"0"
"456",30520.8201,64,"2",3,8,470382.8956,"0"
"457",32072.89696,65,"3",15,8,0,"0"
"458",101915.9035,78,"1",2,1,168794.7936,"1"
"459",28591.70865,27,"0",3,7,123190.8637,"1"
"460",74424.89987,71,"2",14,6,17805.79154,"0"
"461",43954.30755,41,"0",2,0,305835.191,"1"
"462",140666.1391,74,"4",13,3,237007.2206,"1"
"463",131764.773,39,"3",3,6,447096.6712,"1"
"464",40330.36996,20,"0",14,2,395649.5244,"1"
"465",129555.8395,34,"0",19,8,268314.4386,"1"
"466",111910.5831,32,"1",2,0,154482.1602,"1"
"467",82883.2706,34,"3",11,0,484508.3294,"0"
"468",22464.69303,42,"2",15,3,189268.7994,"1"
"469",75517.19467,35,"3",14,7,441590.4132,"0"
"470",134747.435,31,"3",12,6,91338.95486,"1"
"471",125058.2167,39,"4",15,7,45635.5091,"0"
"472",72930.74497,32,"0",12,0,310391.17,"0"
"473",144729.5232,52,"1",12,0,147380.8855,"1"
"474",35963.65397,39,"0",20,1,83010.15218,"1"
"475",46319.91603,67,"0",11,5,23218.8204,"0"
"476",130084.7315,50,"2",18,0,239895.3137,"1"
"477",66513.32576,55,"2",17,8,462989.6786,"1"
"478",20492.18899,30,"4",16,3,207847.6398,"1"
"479",95347.05695,41,"3",1,5,440664.1779,"0"
"480",58219.96658,36,"1",8,5,103387.5698,"0"
"481",109703.9173,54,"2",5,4,50913.20158,"0"
"482",34268.94607,60,"3",13,0,244495.1729,"0"
"483",74949.90618,57,"3",3,6,151914.1405,"1"
"484",137443.8435,74,"3",13,6,298857.295,"1"
"485",135524.6908,70,"3",11,5,375529.3419,"1"
"486",117943.4244,51,"4",9,6,472659.997,"0"
"487",108041.6603,22,"0",18,2,404858.1033,"1"
"488",150000,23,"0",11,8,284343.5281,"1"
"489",76259.47281,49,"2",3,5,62168.75351,"1"
"490",72386.56674,34,"4",17,1,175333.4339,"0"
"491",137212.2175,74,"0",12,3,0,"1"
"492",20000,32,"4",3,2,153224.2065,"1"
"493",77925.28065,40,"3",12,5,168427.8284,"0"
"494",141473.956,53,"4",3,1,229324.1906,"1"
"495",65435.77839,39,"2",8,6,138134.6882,"1"
"496",86967.12615,46,"4",13,2,403122.4687,"0"
"497",39444.95719,48,"3",5,7,55049.58511,"1"
"498",117416.1721,38,"4",19,4,468239.7293,"0"
"499",82893.42192,71,"0",3,4,0,"1"
"500",103097.3636,24,"0",18,5,49993.76398,"1"
"501",55557.82551,76,"3",15,6,49749.83499,"0"
"502",44813.59928,63,"0",15,0,126135.2913,"0"
"503",81681.68733,76,"4",10,2,291713.7229,"1"
